,A,IndicesInteractionProtein,KnownProteins,MaxNumInteractionProtein,N,NumInteractionProtein,ProteinLabel,ProteinLabelPairs
0,0,2.0,1,52.0,990.0,20,['YDL097C'],1.0
1,1,16.0,1,,,23,['YHL030W'],2.0
2,0,23.0,1,,,16,['YLR115W'],
3,0,32.0,1,,,17,['YKR002W'],
4,0,33.0,1,,,16,['YAL043C'],
5,0,37.0,1,,,17,['YDR195W'],
6,0,41.0,1,,,12,['YHR069C'],
7,0,82.0,1,,,12,['YOL021C'],
8,0,130.0,1,,,12,['YGR095C'],
9,0,142.0,1,,,11,['YGR195W'],
10,0,177.0,1,,,11,['YCR035C'],
11,0,178.0,1,,,14,['YNL317W'],
12,0,206.0,1,,,15,['YKL059C'],
13,0,232.0,1,,,14,['YDR301W'],
14,0,267.0,1,,,12,['YDL111C'],
15,1,308.0,1,,,23,['YKL145W'],
16,0,359.0,1,,,16,['YGR013W'],
17,0,362.0,1,,,16,['YDR240C'],
18,0,430.0,1,,,13,['YDR280W'],
19,0,474.0,1,,,13,['YGR158C'],
20,0,0.0,1,,,14,['YCR052W'],
21,0,0.0,1,,,13,['YKR008W'],
22,1,0.0,1,,,25,['YDR427W'],
23,0,0.0,1,,,13,['YJR093C'],
24,0,0.0,1,,,16,['YGL066W'],
25,0,0.0,1,,,19,['YDR448W'],
26,0,0.0,1,,,15,['YMR091C'],
27,0,0.0,1,,,14,['YLR055C'],
28,0,0.0,1,,,14,['YLR277C'],
29,0,0.0,1,,,18,['YGL151W'],
30,0,0.0,1,,,16,['YOL135C'],
31,1,0.0,1,,,17,['YLR421C'],
32,1,0.0,1,,,20,['YFR052W'],
33,0,0.0,1,,,23,['YBR253W'],
34,0,0.0,1,,,38,['YHR165C'],
35,0,0.0,1,,,43,['YER172C'],
36,1,0.0,1,,,28,['YHR027C'],
37,0,0.0,1,,,13,['YLR033W'],
38,0,0.0,1,,,16,['YBR081C'],
39,0,0.0,1,,,22,['YPR070W'],
40,1,0.0,1,,,26,['YDL147W'],
41,0,0.0,1,,,17,['YKL018W'],
42,0,0.0,1,,,15,['YOL148C'],
43,0,0.0,1,,,16,['YER022W'],
44,0,0.0,1,,,13,['YLR321C'],
45,0,0.0,1,,,20,['YPL013C'],
46,0,0.0,1,,,19,['YHL004W'],
47,0,0.0,1,,,23,['YGL112C'],
48,0,0.0,1,,,19,['YBR198C'],
49,0,0.0,1,,,14,['YOR116C'],
50,0,0.0,1,,,13,['YOR207C'],
51,0,0.0,1,,,13,['YPR107C'],
52,0,,1,,,17,['YLR071C'],
53,0,,1,,,19,['YBR251W'],
54,0,,1,,,10,['YOR076C'],
55,0,,1,,,10,['YOR001W'],
56,0,,1,,,10,['YOL142W'],
57,0,,1,,,7,['YLR166C'],
58,0,,1,,,7,['YBR102C'],
59,0,,1,,,7,['YER008C'],
60,0,,1,,,7,['YDR166C'],
61,0,,1,,,7,['YIL068C'],
62,0,,1,,,12,['YPR190C'],
63,0,,1,,,10,['YNL232W'],
64,0,,1,,,14,['YPL254W'],
65,0,,1,,,14,['YLR298C'],
66,0,,1,,,14,['YKL012W'],
67,0,,1,,,12,['YNR003C'],
68,0,,1,,,6,['YDL029W'],
69,0,,1,,,6,['YJR065C'],
70,0,,1,,,16,['YHR086W'],
71,0,,1,,,14,['YIL126W'],
72,0,,1,,,17,['YDR041W'],
73,0,,1,,,6,['YBR234C'],
74,0,,1,,,6,['YIL062C'],
75,0,,1,,,6,['YLR370C'],
76,0,,1,,,6,['YKL013C'],
77,0,,1,,,6,['YNR035C'],
78,0,,1,,,33,['YOR272W'],
79,0,,1,,,39,['YOL077C'],
80,0,,1,,,17,['YDR036C'],
81,1,,1,,,32,['YHR200W'],
82,0,,1,,,14,['YIL061C'],
83,0,,1,,,20,['YFR037C'],
84,0,,1,,,8,['YFR051C'],
85,0,,1,,,8,['YDL145C'],
86,0,,1,,,12,['YGR056W'],
87,0,,1,,,11,['YDR235W'],
88,0,,1,,,8,['YDR238C'],
89,0,,1,,,12,['YPL139C'],
90,0,,1,,,12,['YNL330C'],
91,0,,1,,,12,['YDL150W'],
92,0,,1,,,13,['YER133W'],
93,0,,1,,,48,['YHR052W'],
94,0,,1,,,7,['YIL076W'],
95,0,,1,,,11,['YNL059C'],
96,0,,1,,,10,['YGL150C'],
97,0,,1,,,8,['YGL137W'],
98,0,,1,,,13,['YGR104C'],
99,0,,1,,,12,['YML046W'],
100,0,,1,,,13,['YIL021W'],
101,0,,1,,,13,['YDR404C'],
102,0,,1,,,22,['YDR296W'],
103,0,,1,,,23,['YCR046C'],
104,0,,1,,,12,['YDR392W'],
105,0,,1,,,11,['YBR119W'],
106,0,,1,,,7,['YML071C'],
107,0,,1,,,7,['YER157W'],
108,0,,1,,,7,['YPR105C'],
109,0,,1,,,7,['YNL051W'],
110,0,,1,,,12,['YCL010C'],
111,0,,1,,,6,['YJL085W'],
112,0,,1,,,6,['YGL233W'],
113,0,,1,,,9,['YER092W'],
114,0,,1,,,20,['YDR145W'],
115,0,,1,,,8,['YLR291C'],
116,0,,1,,,8,['YDR211W'],
117,0,,1,,,23,['YDR303C'],
118,0,,1,,,7,['YOR260W'],
119,0,,1,,,13,['YGR005C'],
120,0,,1,,,17,['YAL032C'],
121,0,,1,,,18,['YMR213W'],
122,0,,1,,,6,['YCR033W'],
123,0,,1,,,6,['YGL194C'],
124,0,,1,,,6,['YIL112W'],
125,0,,1,,,14,['YNL236W'],
126,0,,1,,,7,['YBR103W'],
127,0,,1,,,12,['YDL002C'],
128,0,,1,,,18,['YLL036C'],
129,1,,1,,,15,['YPR108W'],
130,0,,1,,,9,['YOL145C'],
131,0,,1,,,9,['YLR418C'],
132,0,,1,,,10,['YER025W'],
133,0,,1,,,6,['YPL045W'],
134,0,,1,,,6,['YMR231W'],
135,0,,1,,,6,['YLR396C'],
136,0,,1,,,9,['YMR263W'],
137,0,,1,,,8,['YCR077C'],
138,0,,1,,,8,['YJL124C'],
139,0,,1,,,20,['YGR220C'],
140,0,,1,,,17,['YMR236W'],
